Loss,Accuracy,a,k,b
1.29583,0.351145,0.248776,3.31848,-0.139981
1.2958,0.351145,0.248751,3.31848,-0.139981
1.29578,0.351145,0.248726,3.31847,-0.139981
1.29575,0.351145,0.248701,3.31847,-0.139981
1.29572,0.351145,0.248676,3.31847,-0.139981
1.29569,0.35369,0.248651,3.31847,-0.139981
1.29567,0.35369,0.248626,3.31847,-0.13998
1.29564,0.35369,0.248601,3.31847,-0.13998
1.29562,0.35369,0.248577,3.31847,-0.13998
1.29559,0.35369,0.248552,3.31846,-0.13998
1.29556,0.358779,0.248527,3.31846,-0.13998
1.29554,0.358779,0.248503,3.31846,-0.13998
1.29551,0.358779,0.248478,3.31846,-0.13998
1.29549,0.358779,0.248454,3.31846,-0.13998
1.29546,0.358779,0.248429,3.31846,-0.13998
1.29544,0.358779,0.248405,3.31846,-0.13998
1.29541,0.358779,0.248381,3.31845,-0.13998
1.29539,0.361323,0.248357,3.31845,-0.139979
1.29536,0.361323,0.248332,3.31845,-0.139979
1.29533,0.361323,0.248308,3.31845,-0.139979
1.29531,0.361323,0.248284,3.31845,-0.139979
1.29529,0.361323,0.24826,3.31845,-0.139979
1.29526,0.361323,0.248236,3.31845,-0.139979
1.29524,0.361323,0.248212,3.31844,-0.139979
1.29521,0.361323,0.248188,3.31844,-0.139979
1.29519,0.361323,0.248165,3.31844,-0.139979
1.29516,0.361323,0.248141,3.31844,-0.139979
1.29514,0.361323,0.248117,3.31844,-0.139979
1.29512,0.361323,0.248094,3.31844,-0.139978
1.29509,0.361323,0.24807,3.31844,-0.139978
1.29507,0.361323,0.248046,3.31843,-0.139978
1.29504,0.361323,0.248023,3.31843,-0.139978
1.29502,0.361323,0.247999,3.31843,-0.139978
1.295,0.361323,0.247976,3.31843,-0.139978
1.29497,0.361323,0.247953,3.31843,-0.139978
1.29495,0.361323,0.247929,3.31843,-0.139978
1.29493,0.361323,0.247906,3.31843,-0.139978
1.2949,0.361323,0.247883,3.31842,-0.139978
1.29488,0.361323,0.24786,3.31842,-0.139978
1.29486,0.361323,0.247837,3.31842,-0.139977
1.29483,0.361323,0.247814,3.31842,-0.139977
1.29481,0.361323,0.247791,3.31842,-0.139977
1.29479,0.361323,0.247768,3.31842,-0.139977
1.29477,0.361323,0.247745,3.31842,-0.139977
1.29474,0.361323,0.247722,3.31841,-0.139977
1.29472,0.361323,0.247699,3.31841,-0.139977
1.2947,0.361323,0.247676,3.31841,-0.139977
1.29468,0.361323,0.247653,3.31841,-0.139977
1.29465,0.361323,0.247631,3.31841,-0.139977
